question_number,question_text,question_length,option1,option1_length,option2,option2_length,option3,option3_length,option4,option4_length,option_count,correct_answer_numbers,correct_answer_text,required,keyword,image,short_last_option
207,"Biển nào báo hiệu ""Giao nhau với đường hai chiều""?",50,Biển 1.,7,Biển 2.,7,Biển 3.,8,,0,3,1,Biển 1.,False,biển,True,False
208,Hành vi đua xe trái phép bị xử lý như thế nào?,46,Chỉ bị nhắc nhở.,16,Tùy theo mức độ của hành vi vi phạm có thể bị xử lý hành chính hoặc xử lý hình sự.,82,,0,,0,2,2,Tùy theo mức độ của hành vi vi phạm có thể bị xử lý hành chính hoặc xử lý hình sự.,False,hành,False,False
209,Biển nào xe quay đầu không bị cấm?,34,Biển 1.,7,Biển 2.,7,Cả hai biển.,12,,0,3,3,Cả hai biển.,False,biển,True,False
210,Hành vi nào sau đây bị cấm?,27,"Lắp đặt, sử dụng thiết bị âm thanh, ánh sáng trên xe cơ giới, xe máy chuyên dùng gây mất trật tự, an toàn giao thông đường bộ.",126,"Cản trở người, phương tiện tham gia giao thông trên đường bộ; ném gạch, đất, đá, cát hoặc vật thể khác vào người, phương tiện đang tham gia giao thông trên đường bộ.",165,Cả hai ý trên.,14,,0,3,3,Cả hai ý trên.,False,cấm,False,True
211,"Biển nào sau đây là biển ""Dốc xuống nguy hiểm""?",47,Biển 1.,7,Biển 2.,7,,0,,0,2,1,Biển 1.,False,biển,True,False
212,"Theo hướng mũi tên, xe nào chấp hành đúng quy tắc giao thông?",61,"Xe khách, xe tải, xe mô tô.",27,"Xe tải, xe mô tô.",17,Chỉ xe con.,11,Cả bốn xe.,10,4,3,Chỉ xe con.,False,giao thông,False,True
213,"Theo hướng mũi tên, thứ tự các xe đi như thế nào là đúng quy tắc giao thông?",76,"Xe khách, xe tải, xe mô tô, xe con.",35,"Xe con, xe khách, xe tải, xe mô tô.",35,"Xe mô tô, xe tải, xe khách, xe con.",35,"Xe mô tô, xe tải, xe con, xe khách.",35,4,3,"Xe mô tô, xe tải, xe khách, xe con.",False,giao thông,False,False
214,Xe nào được quyền đi trước trong trường hợp này?,48,Xe mô tô.,9,Xe con.,7,,0,,0,2,1,Xe mô tô.,False,quyền,False,False
215,"Khi tầm nhìn bị hạn chế bởi sương mù hoặc mưa to, người lái xe phải thực hiện các thao tác nào để bảo đảm an toàn?",114,"Tăng tốc độ, chạy gần xe trước, nhìn đèn hậu để định hướng.",59,"Giảm tốc độ, chạy cách xa xe trước với khoảng cách an toàn, bật đèn sương mù và đèn chiếu gần.",94,"Tăng tốc độ, bật đèn pha vượt qua xe chạy trước.",48,,0,3,2,"Giảm tốc độ, chạy cách xa xe trước với khoảng cách an toàn, bật đèn sương mù và đèn chiếu gần.",False,an toàn,False,True
216,"Biển nào báo hiệu ""Giao nhau với đường không ưu tiên""?",54,Biển 1.,7,Biển 2.,7,Biển 3.,7,Biển 2 và biển 3.,20,4,1,Biển 1.,False,biển,True,False
217,"Trong trường hợp này, thứ tự xe đi như thế nào là đúng quy tắc giao thông?",74,"Xe công an đi làm nhiệm vụ khẩn cấp, xe quân sự đi làm nhiệm vụ khẩn cấp, xe con + xe mô tô.",92,"Xe quân sự đi làm nhiệm vụ khẩn cấp, xe công an đi làm nhiệm vụ khẩn cấp, xe con + xe mô tô.",92,"Xe mô tô + xe con, xe quân sự đi làm nhiệm vụ khẩn cấp, xe công an đi làm nhiệm vụ khẩn cấp.",92,,0,3,2,"Xe quân sự đi làm nhiệm vụ khẩn cấp, xe công an đi làm nhiệm vụ khẩn cấp, xe con + xe mô tô.",False,giao thông,False,False
218,"Khi chuyển làn đường, người lái xe phải bật đèn tín hiệu báo rẽ như thế nào là đúng quy tắc giao thông?",103,Khi bắt đầu chuyển làn đường.,29,Trước khi thay đổi làn đường.,29,Sau khi thay đổi làn đường.,27,,0,3,2,Trước khi thay đổi làn đường.,False,giao thông,False,False
219,Biển nào chỉ dẫn cho người đi bộ sử dụng hầm chui qua đường?,60,Biển 1.,7,Biển 2.,7,Cả hai biển.,14,Không biển nào.,17,4,2,Biển 2.,False,biển,True,False
220,"Khi tránh xe đi ngược chiều, các xe phải nhường đường như thế nào là đúng quy tắc giao thông?",93,"Nơi đường hẹp chỉ đủ cho một xe chạy và có chỗ tránh xe thì xe nào ở gần chỗ tránh hơn phải vào vị trí tránh, nhường đường cho xe đi ngược chiều.",145,Xe xuống dốc phải nhường đường cho xe lên dốc.,46,Xe có chướng ngại vật phía trước phải nhường đường cho xe không có chướng ngại vật phía trước.,94,Cả ba ý trên.,13,4,4,Cả ba ý trên.,False,giao thông,False,True
221,Biển báo này có ý nghĩa như thế nào?,36,Tốc độ tối đa cho phép về ban đêm cho các phương tiện là 70 km/h.,65,Tốc độ tối thiểu cho phép về ban đêm cho các phương tiện là 70 km/h.,68,,0,,0,2,1,Tốc độ tối đa cho phép về ban đêm cho các phương tiện là 70 km/h.,False,biển,False,False
222,"Những trường hợp nào dưới đây không được đi trên đường cao tốc, trừ người, phương tiện giao thông đường bộ và thiết bị phục vụ việc quản lý, bảo trì đường cao tốc?",163,"Xe máy chuyên dùng có tốc độ thiết kế nhỏ hơn tốc độ tối thiểu quy định đối với đường cao tốc, xe chở người bốn bánh có gắn động cơ, xe chở hàng bốn bánh có gắn động cơ, xe mô tô, xe gắn máy, các loại xe tương tự xe mô tô, xe gắn máy, xe thô sơ, người đi bộ.",258,Xe máy chuyên dùng có tốc độ thiết kế lớn hơn tốc độ tối thiểu quy định đối với đường cao tốc.,94,Xe ô tô và xe máy chuyên dùng có tốc độ thiết kế lớn hơn 80 km/h.,65,,0,3,1,"Xe máy chuyên dùng có tốc độ thiết kế nhỏ hơn tốc độ tối thiểu quy định đối với đường cao tốc, xe chở người bốn bánh có gắn động cơ, xe chở hàng bốn bánh có gắn động cơ, xe mô tô, xe gắn máy, các loại xe tương tự xe mô tô, xe gắn máy, xe thô sơ, người đi bộ.",False,giao thông,False,True
223,"Khi điều khiển xe mô tô quay đầu, người lái xe cần thực hiện như thế nào để bảo đảm an toàn?",92,"Bật tín hiệu báo rẽ trước khi quay đầu, từ từ giảm tốc độ đến mức có thể dừng lại.",82,Chỉ quay đầu xe tại những nơi được phép quay đầu.,49,"Quan sát an toàn các phương tiện tới từ phía trước, phía sau, hai bên đồng thời nhường đường cho xe từ bên phải và phía trước đi tới.",133,Cả ba ý trên.,13,4,4,Cả ba ý trên.,False,xe mô tô,False,True
224,Vạch kẻ đường là gì?,20,Là báo hiệu đường bộ để hỗ trợ cảnh báo nguy hiểm cho người tham gia giao thông đường bộ.,89,"Là vạch chỉ sự phân chia làn đường, vị trí hoặc hướng đi, vị trí dừng lại.",74,Là báo hiệu cho người tham gia giao thông đường bộ về các thông tin của đường bộ.,81,Cả ba ý trên.,13,4,2,"Là vạch chỉ sự phân chia làn đường, vị trí hoặc hướng đi, vị trí dừng lại.",False,vạch,False,True
225,"Khi lái xe trong khu đông dân cư, khu vực cơ sở khám bệnh, chữa bệnh trừ các khu vực có biển cấm sử dụng còi, người lái xe được sử dụng còi trong thời gian nào?",160,Từ 22 giờ ngày hôm trước đến 05 giờ ngày hôm sau.,49,Từ 05 giờ đến 22 giờ.,21,Từ 23 giờ ngày hôm trước đến 05 giờ sáng hôm sau.,49,,0,3,2,Từ 05 giờ đến 22 giờ.,False,biển,False,False
226,Biển nào xe được phép rẽ trái?,30,Biển 1.,7,Biển 2.,7,Không biển nào.,17,,0,3,2,Biển 2.,False,biển,True,False
227,Người lái xe được hiểu như thế nào là đúng?,43,Là người điều khiển xe cơ giới.,31,Là người điều khiển xe thô sơ.,30,Là người điều khiển xe máy chuyên dùng.,39,,0,3,1,Là người điều khiển xe cơ giới.,False,hiểu,False,False
228,"Biển nào báo hiệu ""Chú ý chướng ngại vật""?",42,Biển 1.,7,Biển 2 và biển 3.,19,Biển 3.,7,,0,3,2,Biển 2 và biển 3.,False,biển,True,True
229,"Hành vi đưa xe cơ giới, xe máy chuyên dùng tham gia giao thông đường bộ nào dưới đây bị cấm?",92,Không có chứng nhận kiểm định an toàn kỹ thuật và bảo vệ môi trường.,68,Hết niên hạn sử dụng.,21,Cả hai ý trên.,14,,0,3,3,Cả hai ý trên.,False,giao thông,False,True
230,Biển nào không cho phép rẽ phải?,32,Biển 1.,7,Biển 2.,7,Biển 3.,7,Biển 1 và biển 3.,20,4,1,Biển 1.,False,biển,True,False
231,Các biển báo này có ý nghĩa như thế nào?,40,Để báo trước gần tới đoạn đường có hiện tượng đất đá từ trên ta luy dương sụt lở bất ngờ gây nguy hiểm cho xe cộ và người đi đường.,131,"Để báo trước nơi có kết cấu mặt đường rời rạc, khi phương tiện đi qua, làm cho các viên đá, sỏi văng lên gây nguy hiểm và mất an toàn cho người và phương tiện tham gia giao thông.",179,"Để cảnh báo những đoạn nền đường yếu, đoạn đường đang theo dõi lún mà việc vận hành xe ở tốc độ cao có thể gây nguy hiểm.",121,,0,3,1,Để báo trước gần tới đoạn đường có hiện tượng đất đá từ trên ta luy dương sụt lở bất ngờ gây nguy hiểm cho xe cộ và người đi đường.,False,biển,False,False
232,"Người điều khiển phương tiện tham gia giao thông không được dừng xe, đỗ xe ở những vị trí nào sau đây?",102,"Trên miệng cống thoát nước, miệng hầm của đường điện thoại, điện cao thế, chỗ dành riêng cho xe chữa cháy lấy nước.",115,Trong phạm vi an toàn của đường sắt.,36,Cả hai ý trên.,14,,0,3,3,Cả hai ý trên.,False,giao thông,False,True
233,"Khi gặp biển nào thì các phương tiện không được đi vào, trừ xe ô tô và xe mô tô?",80,Biển 1.,7,Biển 2.,7,,0,,0,2,1,Biển 1.,False,xe mô tô,True,False
234,"Biển nào chỉ dẫn ""Được ưu tiên qua đường hẹp""?",46,Biển 1.,7,Biển 2.,7,Biển 3.,7,Cả 2 và biển 3.,17,4,3,Biển 3.,False,biển,True,False
235,"Theo quy định về độ tuổi, người đủ bao nhiêu tuổi trở lên thì được cấp giấy phép lái xe mô tô hai bánh có dung tích xi lanh đến 125 cm3 và xe ô tô chở người đến 8 chỗ (không kể chỗ của người lái xe); xe ô tô tải và ô tô chuyên dùng có khối lượng toàn bộ theo thiết kế đến 3.500 kg?",281,16 tuổi.,8,17 tuổi,7,18 tuổi.,8,,0,3,3,18 tuổi.,False,xe mô tô,False,False
236,Các hành vi nào sau đây bị cấm đối với phương tiện tham gia giao thông đường bộ?,80,"Cải tạo xe ô tô loại khác thành xe ô tô chở người phục vụ mục đích quốc phòng, an ninh.",87,"Cải tạo trái phép; cố ý can thiệp làm sai lệch chỉ số trên đồng hồ báo quãng đường đã chạy của xe ô tô; cắt, hàn, tẩy xóa, đục sửa, đóng lại trái phép số khung, số động cơ của xe cơ giới, xe máy chuyên dùng.",207,,0,,0,2,2,"Cải tạo trái phép; cố ý can thiệp làm sai lệch chỉ số trên đồng hồ báo quãng đường đã chạy của xe ô tô; cắt, hàn, tẩy xóa, đục sửa, đóng lại trái phép số khung, số động cơ của xe cơ giới, xe máy chuyên dùng.",False,giao thông,False,False
237,Biển nào dưới đây báo hiệu gần đến đoạn đường thường có trẻ em đi ngang qua?,76,Biển 1.,7,Biển 2.,7,Biển 3.,7,Cả ba biển.,12,4,2,Biển 2.,False,biển,True,False
238,Biển nào dưới đây các phương tiện không được phép đi vào?,57,Biển 1.,7,Biển 2.,7,Biển 1 và biển 2.,17,,0,3,3,Biển 1 và biển 2.,False,biển,True,False
239,Những hành vi nào sau đây thể hiện là người có văn hóa giao thông?,66,"Luôn tuân thủ pháp luật về trật tự, an toàn giao thông đường bộ, nhường nhịn và giúp đỡ người khác.",99,"Đi nhanh, vượt đèn đỏ nếu không có lực lượng Công an.",53,Bấm còi và nháy đèn liên tục để cảnh báo xe khác.,49,Tránh nhường đường để đi nhanh hơn.,35,4,1,"Luôn tuân thủ pháp luật về trật tự, an toàn giao thông đường bộ, nhường nhịn và giúp đỡ người khác.",False,giao thông,False,True
240,"Khi điều khiển phương tiện tham gia giao thông, những hành vi nào dưới đây bị nghiêm cấm?",89,Thay đổi tốc độ của xe nhiều lần.,33,Điều khiển phương tiện sau 23 giờ trong ngày.,45,"Lạng lách, đánh võng, rú ga liên tục.",37,,0,3,3,"Lạng lách, đánh võng, rú ga liên tục.",False,giao thông,False,False
241,Xe nào được quyền đi trước trong trường hợp này?,48,Xe mô tô.,9,Xe cứu thương đi làm nhiệm vụ cấp cứu.,38,,0,,0,2,2,Xe cứu thương đi làm nhiệm vụ cấp cứu.,False,quyền,False,False
242,"“Người tham gia giao thông đường bộ"" gồm những đối tượng nào?",61,"Người điều khiển, người được chở trên phương tiện tham gia giao thông đường bộ",78,"Người điều khiển, dẫn dắt vật nuôi trên đường bộ; người đi bộ trên đường bộ.",76,Cả hai ý trên.,14,,0,3,3,Cả hai ý trên.,False,giao thông,False,True
243,"Hành vi giao xe ô tô, mô tô cho người nào sau đây tham gia giao thông đường bộ bị nghiêm cấm?",93,Người chưa đủ tuổi theo quy định.,33,Người không có giấy phép lái xe.,32,Người có giấy phép lái xe nhưng đã bị trừ hết 12 điểm.,54,Cả ba ý trên.,13,4,4,Cả ba ý trên.,False,giao thông,False,True
244,"Trong hình dưới đây, xe nào chấp hành đúng quy tắc giao thông?",62,"Chỉ xe khách, xe mô tô.",23,Tất cả các loại xe trên.,24,Không xe nào chấp hành đúng quy tắc giao thông.,47,,0,3,2,Tất cả các loại xe trên.,False,giao thông,False,False
245,"Theo tín hiệu đèn, xe nào đi là đúng quy tắc giao thông?",56,"Xe khách, xe mô tô.",19,"Xe con, xe tải.",15,"Xe tải, xe mô tô.",17,,0,3,2,"Xe con, xe tải.",False,giao thông,False,False
246,"Trong hình dưới, những xe nào vi phạm quy tắc giao thông?",57,"Xe con (E), xe mô tô (C).",25,"Xe tải (A), xe mô tô (D).",25,"Xe khách (B), xe mô tô (C).",27,"Xe khách (B), xe mô tô (D).",27,4,1,"Xe con (E), xe mô tô (C).",False,giao thông,False,False
247,Tổ chức đua xe được phép thực hiện khi nào?,43,Trên đường phố không có người qua lại.,38,Được người dân ủng hộ.,22,Được cơ quan có thẩm quyền cấp phép.,36,,0,3,3,Được cơ quan có thẩm quyền cấp phép.,False,chức,False,False
248,"Theo tín hiệu đèn của xe cơ giới, xe nào vi phạm quy tắc giao thông?",68,Xe mô tô.,9,Xe ô tô con.,12,Không xe nào vi phạm.,23,Cả hai xe.,11,4,4,Cả hai xe.,False,giao thông,False,True
249,Biển này có ý nghĩa như thế nào?,32,Cấm xe cơ giới (trừ xe ưu tiên theo luật định) đi thẳng.,56,Cấm các loại xe cơ giới và xe mô tô (trừ xe ưu tiên theo luật định) đi về bên trái và bên phải.,95,Hướng trái và phải không cấm xe cơ giới.,40,,0,3,2,Cấm các loại xe cơ giới và xe mô tô (trừ xe ưu tiên theo luật định) đi về bên trái và bên phải.,False,biển,False,True
250,"Biển nào cho phép được quay đầu xe đi theo hướng ngược lại khi đặt biển trước ngã ba, ngã tư?",93,Biển 1.,7,Biển 2.,7,Biển 3.,7,Không biển nào.,17,4,3,Biển 3.,False,biển,True,False
